id,stem,options,answer,answer_detail,label_id,label_name,source,topic,question_no,question_page,answer_page,section,ocr_note,source_file
1,1.假说—演绎法是科学研究中常用的方法，包括“提出问题、作出假说、演绎推理、实验验证、得出结论”五个基本环节，利用该方法，孟德尔发现了两大遗传定律.下列关于孟德尔研究过程的分析，错误的是(　　),"A.孟德尔所作假说的核心内容是“F1产生两种配子的比例是1∶1”
B.孟德尔依据减数分裂的相关原理进行了“演绎推理”的过程
C.为了验证作出的假说是否正确，孟德尔设计并完成了测交实验
D.测交后代性状比例为1∶1，可以从个体水平上说明基因分离定律的实质",B,"答案　B
解析　孟德尔依据假说的内容进行了“演绎推理”的过程，B错误.",1,1,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
2,2.羊的毛色由一对等位基因控制，一对白毛羊产生的后代中出现了黑毛羊，这种现象的遗传学名称以及产生的原因依次是(　　),"A.性状分离　基因分离定律和基因自由组合定律
B.性状分离　基因的分离定律和受精的随机性
C.性状重组　基因的分离定律和基因突变
D.性状重组　伴性遗传和减数分裂",B,"答案　B
解析　一对白毛羊产生的后代中出现了黑毛羊，这种现象叫作性状分离，同时说明该对白毛羊均为杂合子.该对杂合子的白毛羊在减数分裂形成配子的过程中，等位基因随同源染色体的分开而分离，各产生了两种比例相等的配子；在受精过程中，雌、雄配子的随机结合，导致后代中出现了黑毛羊，即后代中黑毛羊产生的原因是基因的分离定律和受精的随机性，B符合题意.",2,2,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
3,3.(2023·福建福州高一检测)某研究小组利用如下装置进行了二倍体生物性状分离比的模拟实验:甲、乙两个容器中各放置两种小球，球上标记的A、a、B、b代表基因，每次从甲、乙两个容器中各随机抽出一个小球，记录组合情况，重复多次实验并计算各种组合间的比例.下列说法错误的是(　　),"A.甲、乙两个容器中的小球可能分别代表雌、雄配子
B.每个容器中的两种小球数量之比应为1∶1
C.该实验模拟了同源染色体上等位基因的分离
D.该实验模拟了两对同源染色体上非等位基因的自由组合",A,"答案　A
解析　甲、乙两个容器里面的小球代表同源染色体上的等位基因，A错误；每个容器中两种小球的数量需相等，且甲、乙两个容器中小球的总数也要相等，B正确；该实验模拟的是减数分裂过程中同源染色体上等位基因的分离和非同源染色体上非等位基因的自由组合，C、D正确.",14,14,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
4,4.某植物花的红色对白色为显性，受一对等位基因控制，现选择亲本为开红色花的植株自由交配获得子一代，性状分离比为红色花∶白色花＝48∶1，则亲本中纯合子所占的比例为(　　),A.2/3 B.1/9 C.3/4 D.5/7,D,"答案　D
解析　根据题干信息分析，开红色花的植株与开红色花的植株杂交，后代出现了开白色花的植株，说明红色花是显性性状，白色花是隐性性状.设相关基因用A、a表示，后代中红色花∶白色花＝48∶1，说明开白色花的植株(aa)占1/49，则a的基因频率＝1/7，A的基因频率＝6/7，亲本的基因型为AA和Aa，假设亲本中纯合子所占的比例为x，则杂合子所占的比例为1－x，则a的基因频率＝1/2×(1－x)＝1/7，计算出x＝5/7，故亲本中纯合子所占的比例为5/7.",0,0,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
5,5.如图表示孟德尔揭示两个遗传定律时所选用的豌豆植株及其体内相关基因控制的性状、显隐性及其在染色体上的分布.下列叙述错误的是(　　),"A.图甲、乙、丙、丁所示个体都可以作为验证基因分离定律的材料
B.图丁所示个体自交后代中表型及比例为黄皱∶绿皱＝3∶1
C.图甲、乙所示个体减数分裂时，不能揭示基因的自由组合定律的实质
D.图丙所示个体自交，子代表型比例为9∶3∶3∶1，属于假说—演绎的验证阶段",D,"答案　D
解析　图丙所示个体自交，子代表型比例为9∶3∶3∶1，属于观察现象阶段，D错误.",1,1,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
6,6.(2023·河北沧州高一质检)如图甲表示某生物(2n＝8)细胞分裂过程中的一条染色体(质)的变化过程，图乙表示该生物细胞分裂时有关物质或结构数量的相关曲线.下列叙述正确的是(　　),"A.a时不可能发生非等位基因的自由组合
B.图甲可表示一次细胞分裂过程中完整的染色体形态变化
C.若图乙曲线表示减数分裂中染色体数目变化的部分曲线，则n＝8
D.若图乙表示每条染色体的DNA数量变化，则图乙ab段可表示图甲③过程",D,"答案　D
解析　a可表示减数分裂Ⅰ，在减数分裂Ⅰ前期和后期都可能发生非等位基因的自由组合，A错误；图甲不能表示一次细胞分裂过程中完整的染色体形态变化，因为染色体还要解螺旋形成染色质，B错误；若图乙曲线表示减数分裂中染色体数目变化的部分曲线，则n＝4，C错误；若图乙表示每条染色体的DNA数量变化，则图乙ab段形成的原因是着丝粒分裂，可表示图甲③过程，D正确.",1,1,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
7,7.果蝇的灰身和黑身由一对等位基因(A、a)控制，灰身对黑身为显性.让一只纯合的灰身雌果蝇与一只黑身雄果蝇交配得到子一代，子一代的雌、雄个体随机交配得到子二代.为了确定基因A、a是位于常染色体上，还是位于X染色体上，可观察和统计子二代的下列指标，其中不能达到目的的是(　　),"A.雌蝇中灰身与黑身的比例
B.黑身果蝇中雌性与雄性的比例
C.雄蝇中灰身与黑身的比例
D.灰身果蝇与黑身果蝇的比例",D,"答案　D
解析　若A、a基因位于常染色体上，子二代雌、雄果蝇中灰身与黑身的比例是相同的，都是3∶1，若A、a基因位于X染色体上，则子二代中雌性全部为灰身，雄性灰身∶黑身＝1∶1，A、B、C不符合题意；若A、a基因位于常染色体上，子二代灰身∶黑身＝3∶1，若A、a基因位于X染色体上，子二代灰身∶黑身＝3∶1，无法达到目的，D符合题意.",2,2,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
8,8.西瓜的瓜重是由基因(用A、B、C……表示)控制的，每增加一个显性基因增重1千克，用瓜重为6千克的西瓜植株与瓜重为4千克的西瓜植株杂交，F1瓜重均为5千克，F2中又出现了瓜重为2千克与8千克的西瓜植株，各占1/64.下列叙述正确的是(　　),"A.西瓜的瓜重是由两对等位基因控制的
B.瓜重为6千克的西瓜植株有5种基因型
C.亲本的基因型可能为AAbbcc×aaBBCC
D.瓜重分别为2千克与8千克的西瓜植株杂交，子代的瓜重为4千克",C,"答案　C
解析　由题干中“F2中又出现了瓜重为2千克和8千克的西瓜植株，各占1/64”可知，西瓜的瓜重这一性状由三对等位基因控制，且这三对等位基因分别位于三对同源染色体上，A错误；瓜重为6千克的西瓜应含有4个显性基因，基因型大于5种，B错误；两亲本分别为4千克(含2个显性基因)和6千克(含4个显性基因)，基因型组合可能为AAbbcc×aaBBCC，C正确；瓜重为2千克的西瓜(不含显性基因)的基因型为aabbcc,8千克的西瓜(含6个显性基因)的基因型为AABBCC，二者杂交，子代基因型为AaBbCc，含有三个显性基因，瓜重为2＋3＝5(千克)，D错误.",0,0,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
9,9.将S型肺炎链球菌注入小鼠体内，会引起小鼠患败血症死亡.下列有关肺炎链球菌的转化实验的叙述，正确的是(　　),"A.S型细菌利用小鼠细胞的核糖体合成细菌的蛋白质
B.无毒的R型细菌转化为有毒的S型细菌属于基因突变
C.在培养R型细菌的培养基中添加S型细菌的DNA酶后出现的只有S型细菌
D.艾弗里的实验证实加热致死的S型细菌体内存在的转化因子是DNA",D,"答案　D
解析　S型细菌利用自身的核糖体合成细菌的蛋白质，A错误；无毒的R型细菌转化为有毒的S型细菌属于基因重组，B错误；在培养R型细菌的培养基中添加S型细菌的DNA酶后出现的只有R型细菌，C错误.",7,7,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
10,10.下列关于真核细胞中DNA分子结构和复制的叙述，错误的是(　　),"A.DNA分子的两条核苷酸链反向平行，构成双螺旋结构
B.一条核苷酸链上相邻两个碱基通过氢键相连
C.在DNA复制的过程中，解旋和复制同时进行
D.DNA连续复制4次，含最初模板链的DNA占1/8",B,"答案　B
解析　一条核苷酸链上相邻两个碱基通过“－脱氧核糖－磷酸－脱氧核糖－”相连，B错误.",4,4,模块检测试卷\模块检测试卷(一)（教师版）.docx,,,,,,,word补充习题一套_题目答案知识标注.xlsx
